unix_ts,avg_latency_ms,throughput,cumulative_throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458757890,4.484004,64,64,2.19,24.77,1.80,29.84,1.91,27.07,1.97,27.23
1458757891,4.298409,232,296,3.07,27.76,2.38,31.76,2.59,29.66,2.68,29.73
1458757892,4.484877,223,519,3.92,31.79,2.84,37.59,3.15,30.99,3.30,33.46
1458757893,4.587855,218,737,4.75,33.88,3.35,40.56,3.66,33.37,3.92,35.94
1458757894,4.498676,222,959,5.42,34.92,3.82,42.28,4.17,35.77,4.47,37.66
1458757895,4.538581,219,1178,6.15,37.58,4.29,43.60,4.64,36.64,5.03,39.27
1458757896,4.557009,220,1398,6.83,37.84,4.73,44.94,5.05,38.28,5.54,40.35
1458757897,4.633686,216,1614,7.44,37.84,5.17,47.34,5.37,39.62,5.99,41.60
1458757898,4.396694,227,1841,8.10,39.94,5.56,47.60,5.74,40.42,6.47,42.65
1458757899,4.621301,217,2058,8.58,39.94,5.93,47.87,6.05,40.69,6.85,42.83
1458757900,4.524466,221,2279,9.15,39.94,6.27,47.87,6.34,40.91,7.25,42.91
1458757901,4.594128,217,2496,9.76,40.74,6.65,48.84,6.70,42.27,7.70,43.95
1458757902,4.617156,217,2713,10.19,41.03,6.93,49.10,7.01,42.27,8.04,44.13
1458757903,4.670691,214,2927,10.69,41.30,7.19,49.38,7.28,42.27,8.39,44.32
1458757904,4.586600,218,3145,11.10,41.58,7.44,49.64,7.53,42.27,8.69,44.50
1458757905,4.583382,217,3362,11.51,41.58,7.71,49.64,7.83,43.86,9.02,45.03
1458757906,4.688668,214,3576,11.88,42.63,7.93,49.93,8.08,44.12,9.30,45.56
1458757907,4.629460,215,3791,12.18,42.63,8.12,49.93,8.27,44.12,9.52,45.56
1458757908,4.528328,221,4012,12.49,42.90,8.37,51.02,8.51,44.43,9.79,46.12
1458757909,4.626603,216,4228,12.86,43.44,8.61,51.02,8.75,46.92,10.07,47.13
1458757910,4.580167,219,4447,13.21,43.44,8.82,51.30,8.96,47.46,10.33,47.40
1458757911,4.673123,214,4661,13.48,43.44,8.98,51.30,9.18,48.03,10.55,47.59
1458757912,4.640516,215,4876,13.78,43.98,9.19,51.57,9.39,48.30,10.79,47.95
1458757913,4.639665,216,5092,14.03,46.71,9.39,51.83,9.57,48.30,11.00,48.95
1458757914,4.718423,211,5303,14.23,46.99,9.57,51.83,9.75,48.30,11.18,49.04
1458757915,4.543591,220,5523,14.52,47.27,9.72,52.09,9.90,48.84,11.38,49.40
1458757916,4.689957,214,5737,14.76,47.27,9.86,52.36,10.12,49.40,11.58,49.68
1458757917,4.565722,215,5952,14.98,47.27,9.96,52.36,10.25,49.40,11.73,49.68
1458757918,4.628910,219,6171,15.24,47.53,10.09,52.36,10.42,49.69,11.92,49.86
1458757919,4.776986,210,6381,15.44,48.31,10.22,53.47,10.54,49.69,12.07,50.49
1458757920,4.659037,214,6595,15.61,48.58,10.30,53.76,10.70,52.31,12.20,51.55
1458757921,4.606457,217,6812,15.84,49.16,10.42,53.76,10.87,52.84,12.38,51.92
1458757922,4.593098,217,7029,16.03,49.16,10.52,55.92,10.99,52.84,12.51,52.64
1458757923,4.707425,212,7241,16.20,56.27,10.61,56.19,11.08,52.84,12.63,55.10
1458757924,4.647798,215,7456,16.40,57.02,10.74,56.66,11.20,53.12,12.78,55.60
1458757925,4.643295,215,7671,16.57,57.02,10.82,56.94,11.30,53.12,12.90,55.69
1458757926,4.535980,221,7892,16.69,58.09,10.89,57.73,11.38,53.12,12.99,56.31
1458757927,4.309431,232,8124,16.88,58.09,11.02,57.98,11.48,53.12,13.13,56.40
1458757928,4.619920,216,8340,17.09,58.39,11.12,57.98,11.60,53.95,13.27,56.77
1458757929,4.371139,229,8569,17.21,58.39,11.21,57.98,11.69,54.74,13.37,57.04
1458757930,4.438484,225,8794,17.37,58.39,11.31,57.98,11.77,55.06,13.48,57.14
1458757931,4.501576,222,9016,17.54,58.96,11.40,58.26,11.85,55.06,13.60,57.43
1458757932,4.430605,226,9242,17.70,58.96,11.54,59.42,11.93,55.06,13.72,57.81
1458757933,4.641582,215,9457,17.83,59.06,11.63,59.42,11.99,55.06,13.82,57.85
1458757934,4.593010,218,9675,18.00,59.76,11.72,59.42,12.05,55.34,13.92,58.17
1458757935,4.847239,206,9881,18.09,61.38,11.81,60.24,12.12,55.34,14.01,58.99
1458757936,4.747693,211,10092,18.20,62.17,11.90,61.03,12.17,55.61,14.09,59.60
1458757937,4.889848,204,10296,18.37,62.17,11.94,61.36,12.23,56.23,14.18,59.92
1458757938,4.600074,217,10513,18.47,62.17,12.03,61.65,12.28,56.23,14.26,60.02
1458757939,4.709222,213,10726,18.57,62.17,12.08,61.65,12.33,56.23,14.33,60.02
1458757940,4.747884,210,10936,18.68,62.17,12.17,61.65,12.39,56.23,14.41,60.02
1458757941,4.562379,219,11155,18.84,62.71,12.23,61.65,12.47,56.52,14.51,60.29
1458757942,4.658775,215,11370,18.95,62.71,12.30,61.95,12.51,56.52,14.59,60.39
1458757943,4.610537,217,11587,19.02,62.98,12.37,61.95,12.57,56.52,14.65,60.48
1458757944,4.677363,213,11800,19.12,62.98,12.46,61.95,12.59,56.52,14.72,60.48
1458757945,4.631372,216,12016,19.20,62.98,12.52,61.95,12.64,56.52,14.79,60.48
1458757946,4.624082,216,12232,19.31,62.98,12.59,61.95,12.68,56.52,14.86,60.48
1458757947,4.683906,214,12446,19.42,62.98,12.64,61.95,12.72,56.52,14.93,60.48
1458757948,4.615459,216,12662,19.54,62.98,12.70,61.95,12.78,56.52,15.01,60.48
1458757949,4.757923,210,12872,19.64,62.98,12.79,62.26,12.84,57.36,15.09,60.87
1458757950,4.594733,218,13090,19.75,62.98,12.84,62.26,12.91,57.67,15.17,60.97
1458757951,4.640833,215,13305,19.86,62.98,12.91,62.26,12.96,57.67,15.24,60.97
1458757952,4.696934,213,13518,19.91,62.98,12.96,62.26,13.01,57.67,15.29,60.97
1458757953,4.739676,211,13729,19.98,62.98,13.03,62.26,13.04,57.94,15.35,61.06
1458757954,4.666449,214,13943,20.04,62.98,13.07,62.26,13.11,58.15,15.41,61.13
1458757955,4.607767,217,14160,20.13,62.98,13.10,62.26,13.15,58.15,15.46,61.13
1458757956,4.584657,218,14378,20.22,62.98,13.13,62.26,13.22,58.15,15.52,61.13
1458757957,4.530785,220,14598,20.30,62.98,13.19,63.09,13.26,58.46,15.58,61.51
1458757958,4.413734,227,14825,20.43,63.93,13.28,64.19,13.33,59.62,15.68,62.58
1458757959,4.460267,224,15049,20.53,63.93,13.33,64.19,13.41,59.62,15.76,62.58
1458757960,4.378586,228,15277,20.62,63.93,13.37,64.19,13.47,60.22,15.82,62.78
1458757961,4.496749,222,15499,20.71,65.45,13.41,64.19,13.53,60.22,15.88,63.29
1458757962,4.439991,224,15723,20.82,66.30,13.47,64.49,13.58,60.22,15.96,63.67
1458757963,4.552605,220,15943,20.92,66.30,13.50,64.80,13.66,61.09,16.03,64.06
1458757964,4.663769,215,16158,21.00,66.56,13.53,64.80,13.68,61.40,16.07,64.25
1458757965,4.679524,213,16371,21.07,66.56,13.56,64.80,13.71,61.40,16.11,64.25
1458757966,4.586096,218,16589,21.18,66.56,13.58,65.15,13.74,61.40,16.17,64.37
1458757967,4.671332,214,16803,21.23,66.56,13.63,65.71,13.76,61.68,16.21,64.65
1458757968,4.686663,213,17016,21.30,66.56,13.67,65.71,13.82,62.54,16.26,64.94
1458757969,4.597930,216,17232,21.39,67.72,13.70,67.40,13.84,63.60,16.31,66.24
1458757970,4.520876,222,17454,21.45,67.72,13.73,67.40,13.87,63.60,16.35,66.24
1458757971,4.748862,211,17665,21.53,67.72,13.77,67.40,13.89,63.60,16.40,66.24
1458757972,4.653063,214,17879,21.59,67.72,13.82,67.40,13.91,63.60,16.44,66.24
1458757973,4.617380,217,18096,21.64,70.63,13.84,67.40,13.95,63.60,16.48,67.21
1458757974,4.682219,213,18309,21.73,71.20,13.88,67.40,13.97,63.89,16.53,67.50
1458757975,4.638555,216,18525,21.78,71.77,13.91,67.40,13.98,63.89,16.56,67.69
1458757976,4.703435,212,18737,21.83,71.77,13.94,67.72,13.99,63.89,16.59,67.79
1458757977,4.634201,216,18953,21.87,72.05,13.99,69.14,14.00,64.46,16.62,68.55
1458757978,4.634785,215,19168,21.94,72.05,14.03,69.14,14.04,65.04,16.67,68.74
1458757979,4.746790,211,19379,21.99,72.05,14.05,69.47,14.05,65.04,16.70,68.85
1458757980,4.430240,226,19605,22.04,72.05,14.08,69.47,14.07,65.04,16.73,68.85
1458757981,4.541219,220,19825,22.11,72.05,14.10,70.30,14.08,66.16,16.76,69.50
1458757982,4.461320,223,20048,22.19,72.05,14.15,70.30,14.07,66.16,16.80,69.50
1458757983,4.500198,223,20271,22.26,72.05,14.16,70.30,14.11,66.73,16.84,69.69
1458757984,4.423470,225,20496,22.32,72.05,14.18,70.30,14.11,66.73,16.87,69.69
1458757985,4.479932,224,20720,22.42,72.05,14.22,70.30,14.10,66.73,16.91,69.69
1458757986,4.546378,219,20939,22.45,72.05,14.27,70.30,14.09,66.98,16.94,69.78
1458757987,4.414543,227,21166,22.49,72.31,14.30,70.30,14.09,67.53,16.96,70.05
1458757988,4.595732,217,21383,22.50,72.60,14.32,70.30,14.10,67.53,16.97,70.14
1458757989,4.516755,222,21605,22.56,72.60,14.32,70.55,14.09,67.53,16.99,70.23
1458757990,4.529789,220,21825,22.58,72.60,14.33,70.55,14.08,67.53,17.00,70.23
1458757991,4.526571,221,22046,22.61,72.60,14.36,70.55,14.07,67.53,17.01,70.23
1458757992,4.559752,219,22265,22.65,72.60,14.37,70.55,14.06,67.74,17.03,70.30
1458757993,4.559831,219,22484,22.66,72.60,14.38,70.55,14.09,67.74,17.04,70.30
1458757994,4.517854,221,22705,22.66,72.60,14.39,70.55,14.09,67.74,17.05,70.30
1458757995,4.513350,222,22927,22.68,72.60,14.40,70.55,14.09,67.74,17.06,70.30
1458757996,4.552788,219,23146,22.72,72.60,14.43,70.55,14.12,67.74,17.09,70.30
1458757997,4.262655,235,23381,22.75,72.60,14.45,70.88,14.18,68.10,17.13,70.53
1458757998,4.555454,219,23600,22.79,72.60,14.46,70.88,14.20,68.10,17.15,70.53
1458757999,4.520244,221,23821,22.82,72.60,14.47,70.88,14.22,68.10,17.17,70.53
1458758000,4.547745,220,24041,22.89,72.60,14.48,70.88,14.25,68.10,17.21,70.53
1458758001,4.635723,215,24256,22.91,72.60,14.52,70.88,14.27,68.10,17.23,70.53
1458758002,4.708423,213,24469,22.96,72.60,14.54,71.18,14.31,68.10,17.27,70.63
1458758003,4.648432,215,24684,22.98,72.60,14.55,71.18,14.32,68.10,17.28,70.63
1458758004,4.795471,208,24892,23.03,72.60,14.57,71.18,14.32,68.10,17.31,70.63
1458758005,4.704166,213,25105,23.05,72.60,14.60,71.18,14.30,68.10,17.32,70.63
1458758006,4.582055,217,25322,23.08,72.60,14.65,71.18,14.29,68.10,17.34,70.63
1458758007,4.490216,223,25545,23.11,72.94,14.68,71.18,14.32,68.10,17.37,70.74
1458758008,4.521130,221,25766,23.17,73.65,14.71,71.18,14.31,68.10,17.40,70.98
1458758009,4.571756,218,25984,23.20,74.03,14.75,71.57,14.30,70.24,17.42,71.95
1458758010,4.330276,232,26216,23.24,74.03,14.77,71.57,14.30,70.24,17.44,71.95
1458758011,4.420888,226,26442,23.28,74.03,14.83,72.27,14.29,70.24,17.47,72.18
1458758012,4.358504,229,26671,23.32,74.38,14.85,72.53,14.30,70.24,17.49,72.38
1458758013,4.543249,220,26891,23.33,74.38,14.86,72.53,14.32,70.24,17.50,72.38
